current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2033,6,220562,1688462766716.0,0.0,20.88875411558312,20.492415050589752,37.18109256308854,387932033.0264241,1973201304.3541765,282244513.36642426,550748326.076382
2033,7,222002,1688462776274.0,0.0,20.3226174281213,20.69667355121324,40.552192956151714,393516133.16766614,1996604683.9397688,286361137.81750745,558159981.7763952
2033,8,223490,1688462779916.0,0.0,19.723404982335236,20.154147095737027,39.74444383476587,399174667.4362464,2020242125.6766787,290552180.84865135,565576804.0759991
2033,9,224978,1688462782596.0,0.0,19.137635247870488,19.55619180473593,38.567167693028075,404907575.6047258,2044108925.1367736,294817582.2747504,572996232.7324456
2033,10,226418,1688462785084.0,0.0,18.56922862430885,18.975362928772878,37.421709634054174,410714764.28112936,2068203154.0835142,299157249.2336737,580416412.3488921
2033,11,227906,1688462787708.0,0.0,18.01770396718568,18.41177575104009,36.31024763932255,416620254.462972,2093044027.1643965,303594143.82376605,588346775.273559
2033,12,229346,1688462790161.0,0.0,17.483291319421117,17.86492760007132,35.23179697581194,422528650.44886607,2117893648.661783,308032647.9130465,596282665.7371737
2034,1,230834,1688462796161.0,0.0,16.9662034337174,17.334376739535077,34.18562898614025,428440188.6233283,2142764202.6390176,312473050.2906698,604235706.4132229
2034,2,232322,1688462801957.0,0.0,16.464371215295127,16.819595304734705,33.17068453684521,434355020.06104726,2167657255.261562,316915316.86698043,612204942.6815372
2034,3,233666,1688462807768.0,0.0,15.977094487935384,16.32011290529319,32.185900098001774,440272597.74353385,2192568935.81907,321359257.2139769,620188606.9502561
2034,4,235154,1688462816440.0,0.0,15.504345796651512,15.83547012881353,31.230468232859536,446193202.9036339,2217501005.8430004,325805037.6666388,628187912.8815693
2034,5,236594,1688462823120.0,0.0,15.454914665039027,15.365212566624859,30.30320574192534,452131857.90271497,2242463980.1422877,330264391.70883715,636209770.9020243
2034,6,238082,1688462829922.0,0.0,15.091540092798333,14.908921696273543,29.403493213137043,458075028.9192989,2267446185.6038218,334726863.44753516,644246564.4156612
2034,7,239522,1688462838277.0,0.0,14.697097203104907,14.947916792104637,33.867954776404986,464202119.6652194,2292498582.954815,339270144.959154,652296932.5157459
2034,8,241010,1688462841264.0,0.0,14.264899828897017,14.546787719542447,33.33517866355675,470408288.6984148,2317759304.4036126,343892489.20828205,660352534.8136902
2034,9,242498,1688462844667.0,0.0,13.841252607957514,14.115159748059032,32.34887813917516,476693486.380315,2343224518.1683755,348593846.59038925,668411311.3558117
2034,10,243938,1688462847278.0,0.0,13.430153840799571,13.695934837986337,31.38811457586907,483057604.8202774,2368891720.816667,353374109.755358,676470845.2286378
2034,11,245426,1688462849883.0,0.0,13.031264843786403,13.289152107257964,30.45585642858165,489523203.7341996,2395238384.983189,358254779.51993597,684998814.9459604
2034,12,246866,1688462852206.0,0.0,12.645115323273997,12.894451013662465,29.551287038746167,495991582.9120483,2421594312.1348476,363137084.6224612,693533411.8265905
2035,1,248354,1688462856942.0,0.0,12.272071360232113,12.511499184058938,28.673856764809244,502462974.2658886,2447971151.814361,368021303.1086976,702085662.3437333
2035,2,249842,1688462862181.0,0.0,11.910025242607922,12.13994436041603,27.82252685009274,508937573.9451016,2474370432.680791,372907420.4645864,710655161.9056102
2035,3,251186,1688462867942.0,0.0,11.558359289209264,11.779427491890376,26.99653118130017,515414912.62962925,2500788672.009434,377795236.88411266,719239983.0464276
2035,4,252674,1688462873928.0,0.0,11.21715259856083,11.429640086248959,26.195215749463618,521895273.10332227,2527228238.206549,382684923.7364478,727841721.9025053
2035,5,254114,1688462880065.0,0.0,11.295065521657005,11.090229510197096,25.41760713892674,528393900.00290364,2553700591.543328,387588265.1898045,736467605.32636
2035,6,255602,1688462886915.0,0.0,11.05093026830215,10.760899113235451,24.663138802680717,534897170.42442614,2580193996.4105945,392494687.7092249,745109764.5635558
2035,7,257042,1688462895775.0,0.0,10.778512036426761,10.8520653799554,29.077322752595766,541581082.3899199,2606756615.0876756,397481947.832343,753767456.7302254
2035,8,258530,1688462898822.0,0.0,10.46290993931125,10.566296505854275,28.669897352415205,548346792.3121657,2633538249.060235,402550990.36023074,762430575.9462835
2035,9,260018,1688462901993.0,0.0,10.152187295114787,10.252876896026029,27.82202659531831,555194273.0566202,2660536141.5763946,407701788.17573625,771097991.8038965
2035,10,261458,1688462904635.0,0.0,9.850657470213875,9.948368061647423,26.995714111032857,562123390.2528105,2687746669.2524314,412934207.46787745,779766158.6215097
2035,11,262946,1688462907883.0,0.0,9.558083095010666,9.652891676746945,26.193914642442042,569156619.109054,2715648575.4198656,418269664.5458018,788904017.2580212
2035,12,264386,1688462910240.0,0.0,9.275149775561152,9.366191141815033,25.415929185536683,576192629.0140406,2743559706.4810266,423606761.8060899,798048708.4884313
2036,1,265874,1688462915316.0,0.0,9.002146046511678,9.088037756960977,24.661364637411385,583231644.914532,2771491774.147484,428945770.1681641,807211146.7655483
